Nama Produk;label;text_cleaned;text_stopwords_removed;clean_text;token_awal;token_akhir;reduksi;persen_%
Ecer-NON Alkohol- Sirup anggur- Hosti Ayat Roti Anggur Perjamuan Kudus Cup;Konsumsi;ecernon alkohol sirup anggur hosti ayat roti anggur perjamuan kudus cup;ecernon alkohol sirup anggur hosti ayat roti anggur perjamuan kudus cup;ecernon alkohol sirup anggur hosti ayat roti anggur jamu kudus cup;11;11;0;0
Haverjoy Havermix Instant Oat & Choco Chips 1 KG;Konsumsi;haverjoy havermix instant oat choco chips kg;haverjoy havermix instant oat choco chips;haverjoy havermix instant oat choco chips;9;6;3;33.3
Sequis Mei;Tagihan;sequis mei;sequis mei;sequis mei;2;2;0;0
Roti Burger Pelangi / Warna-warni (ukuran 10 cm);Konsumsi;roti burger pelangi warnawarni ukuran cm;roti burger pelangi warnawarni;roti burger pelangi warnawarni;8;4;4;50
OLMETEC 40MG TABLET;Kesehatan;olmetec mg tablet;olmetec mg tablet;olmetec mg;3;2;0;0
College Sidekick;Langganan;college sidekick;college sidekick;college sidekick;2;2;0;0
Bakso Aci Tulang Rangu Tulangrawan  [ Perbiji ] Di Facum Rapat halal;Konsumsi;bakso aci tulang rangu tulangrawan perbiji di facum rapat halal;bakso aci tulang rangu tulangrawan perbiji facum rapat;bakso aci tulang rangu tulangrawan biji facum rapat;12;8;4;33.3
Bayar XL Prioritas;Tagihan;bayar xl prioritas;prioritas;prioritas prioritas;3;2;2;66.7
Pot Urine 50 cc Plastik Multifungsi Transparan Wadah Cup Slime Salep Kapsul Obat 50cc 50ml 50 ml;Kesehatan;pot urine cc plastik multifungsi transparan wadah cup slime salep kapsul obat cc ml ml;pot urine cc plastik cup slime salep kapsul obat cc;pot urine cc plastik cup slime salep kapsul obat cc;17;10;7;41.2
Bayar Security Juni;Tagihan;bayar security juni;security juni;security juni security;3;3;1;33.3
ORIFLAKES SOLUSI MAAG DAN ASAM LAMBUNG SEREAL UMBI GARUT 350 Gram;Konsumsi;oriflakes solusi maag dan asam lambung sereal umbi garut gram;oriflakes solusi maag lambung sereal umbi garut;oriflakes solusi maag lambung real umbi garut;11;7;4;36.4
World Bank Data;Langganan;world bank data;world bank data;world bank data;3;3;0;0
Midnight Commander;Langganan;midnight commander;midnight commander;midnight commander midnight;2;3;0;0
Rumah Atsiri Buai Pocket Hand Sanitizer;Kesehatan;rumah atsiri buai pocket hand sanitizer;rumah atsiri buai pocket hand sanitizer;rumah atsiri buai pocket hand sanitizer;6;6;0;0
Bawang putih bubuk Tabura Lengkap / Bumbu Tabura Rentengan @12 Sachet;Konsumsi;bawang putih bubuk tabura lengkap bumbu tabura rentengan sachet;bawang bubuk tabura bumbu tabura rentengan;bawang bubuk tabura bumbu tabura renteng;11;6;5;45.5
Bayar Kost Exclusive;Tagihan;bayar kost exclusive;kost exclusive;kost exclusive exclusive;3;3;1;33.3
2 Thai Tea Original + 2 Camilan;Konsumsi;thai tea original camilan;thai tea camilan;thai tea camil;7;3;4;57.1
Softmix Diamond  vanilla 10 liter;Konsumsi;softmix diamond vanilla liter;softmix diamond vanilla;softmix diamond vanilla;5;3;2;40
Bundle Hemat Teh HERBIGREEN 2 PCS Diet Herbal Jati Cina Peluntur Lemak Perut Buncit Paha Lengan Minuman Detox Alami Bakar Lemak Lebih Cepat Premium Quality Solusi Kurus Sehat Tanpa Obat Kimia Aman Dikonsumsi Setiap Hari;Konsumsi;bundle hemat teh herbigreen pcs diet herbal jati cina peluntur lemak perut buncit paha lengan minuman detox alami bakar lemak lebih cepat premium quality solusi kurus sehat tanpa obat kimia aman dikonsumsi setiap hari;bundle teh herbigreen diet herbal jati cina peluntur lemak perut paha lengan minuman detox bakar lemak quality solusi obat kimia dikonsumsi;bundle teh herbigreen diet herbal jati cina luntur lemak perut paha lengan minum detox bakar lemak quality solusi obat kimia konsumsi;35;21;14;40
NARITA kassa steril 16x16 / kasa hydrofil steril NARITA Farma / Per kotak isi 10 lembar;Kesehatan;narita kassa steril x kasa hydrofil steril narita farma per kotak isi lembar;narita kassa kasa hydrofil narita farma;narita kassa kasa hydrofil narita farma;16;6;10;62.5
Mocha Jelly Shake;Konsumsi;mocha jelly shake;mocha jelly shake;mocha jelly shake;3;3;0;0
Bayar STNK Tahunan;Tagihan;bayar stnk tahunan;stnk tahunan;stnk tahun tahun;3;3;1;33.3
getcontact;Langganan;getcontact;getcontact;getcontact getcontact;1;2;0;0
BARU! BANGO KECAP ASIN 132ML x6 FREE CONTAINER;Konsumsi;baru bango kecap asin ml x free container;bango kecap container;bango kecap container;8;3;5;62.5
Best Seller Kiamboy Kiamboi Hitam Manis Tanpa Biji Kiloan Curah - 1 Kg;Konsumsi;best seller kiamboy kiamboi hitam manis tanpa biji kiloan curah kg;kiamboy kiamboi kiloan curah;kiamboy kiamboi kilo curah;13;4;9;69.2
HANDMADE KITCHN I Almond Milk I Asi Booster I Susu Almond;Konsumsi;handmade kitchn i almond milk i asi booster i susu almond;handmade kitchn almond milk asi booster susu almond;handmade kitchn almond milk asi booster susu almond;11;8;3;27.3
Twitch Turbo;Langganan;twitch turbo;twitch turbo;twitch turbo;2;2;0;0
Cairan Softlens PURIEN REVITA - Solution Softlens 60ml & 150ml;Kesehatan;cairan softlens purien revita solution softlens ml ml;cairan softlens purien revita solution softlens;cair softlens revita solution softlens;10;5;4;40
Parkir Konser;Transport;parkir konser;parkir konser;parkir konser parkir;2;3;0;0
SendGrid;Langganan;sendgrid;sendgrid;sendgrid;1;1;0;0
GARLICKYS Kemiri Bubuk Premium Quality 50gr x 2 pcs;Konsumsi;garlickys kemiri bubuk premium quality gr x pcs;garlickys kemiri bubuk quality;garlickys kemiri bubuk quality;9;4;5;55.6
KWH Meter Merk Smart 5(60)A SMI-810 V3 (Prabayar) 1Phase;Tagihan;kwh meter merk smart a smi v prabayar phase;kwh merk smart smi prabayar phase;merk smart smi prabayar phase;9;5;3;33.3
Royal Platinum;Transport;royal platinum;platinum;platinum platinum;2;2;1;50
Channel 4 News;Langganan;channel news;channel news;channel news news;3;3;1;33.3
ACI (Aku Cinta Indonesia);Transport;aci aku cinta indonesia;aci cinta indonesia;aci cinta;4;2;1;25
Nu Aroma Essential Aromatic Oil Vanilla / Vanili;Kesehatan;nu aroma essential aromatic oil vanilla vanili;nu aroma essential aromatic oil vanilla vanili;nu aroma essential oil aromatic vanilla vanili;8;7;1;12.5
GLUCOPHAGE XR 500MG TABLET;Kesehatan;glucophage xr mg tablet;glucophage xr mg tablet;glucophage mg xr tablet;4;4;0;0
GoPlay;Langganan;goplay;goplay;goplay goplay;1;2;0;0
Bumbu Tabur Ultra Aroma & Tumini Rasa Enak;Konsumsi;bumbu tabur ultra aroma tumini rasa enak;bumbu tabur aroma tumini;bumbu tabur aroma tumini;8;4;4;50
Flimty Fiber - 1 Box (isi 16 sachet);Kesehatan;flimty fiber box isi sachet;flimty fiber;flimty fiber fiber;8;3;6;75
Pearl Milk Tea Medium;Konsumsi;pearl milk tea medium;pearl milk tea;pearl milk tea;4;3;1;25
Nescafe Classic 120gr Nescafe Classic Vending 120 gr by Nestle Professional;Konsumsi;nescafe classic gr nescafe classic vending gr by nestle professional;nescafe classic nescafe classic vending by nestle professional;nescafe classic nescafe classic vending by nestle professional;11;8;3;27.3
AMLODIPINE INFION 10MG KAPLET;Kesehatan;amlodipine infion mg kaplet;amlodipine infion mg;amlodipine infion mg;4;3;1;25
Tahu Bakso BU PUDJI / Tahu Baxo Bu pudji SPECIALTY KHAS UNGARAN TAHAN 3 BULAN #GARANSI;Konsumsi;tahu bakso bu pudji tahu baxo bu pudji specialty khas ungaran tahan bulan garansi;bakso bu pudji baxo bu pudji specialty ungaran tahan;bakso bu pudji baxo bu pudji specialty ungar tahan;16;9;7;43.8
Hotel Transit Dekat Stasiun;Transport;hotel transit dekat stasiun;hotel transit stasiun;hotel transit stasiun;4;3;1;25
tilang;Transport;tilang;tilang;tilang tilang;1;2;0;0
Tes Hamil Onehealth Alat Tes Kehamilan Onehealth HCG One Step Pregnancy Strip Test Onehealth;Kesehatan;tes hamil onehealth alat tes kehamilan onehealth hcg one step pregnancy strip test onehealth;tes hamil onehealth alat tes kehamilan onehealth hcg one step pregnancy strip test onehealth;tes hamil onehealth alat tes hamil onehealth hcg one step pregnancy strip test onehealth;14;14;0;0
Tiket Travel One Way;Transport;tiket travel one way;tiket travel one way;tiket travel one way;4;4;0;0
Bayar Sewa Rumah Tahunan;Tagihan;bayar sewa rumah tahunan;sewa rumah tahunan;sewa tahun rumah;4;3;1;25
roti aoka super lembut momotaro roti gulung viral lembut panggang rasa coklat vanila keju kelapa pandan momotaro mangga;Konsumsi;roti aoka super lembut momotaro roti gulung viral lembut panggang rasa coklat vanila keju kelapa pandan momotaro mangga;roti aoka momotaro roti gulung panggang coklat vanila keju kelapa pandan momotaro mangga;roti aoka momotaro roti gulung panggang coklat vanila keju kelapa pandan momotaro mangga;18;13;5;27.8
Masker Duckbill ALKINDO Earloop 4ply Isi 50 Pcs;Kesehatan;masker duckbill alkindo earloop ply isi pcs;masker duckbill alkindo earloop ply;duckbill alkindo earloop ply;8;4;3;37.5
Coggle;Langganan;coggle;coggle;coggle;1;1;0;0
The Namibian;Langganan;the namibian;the namibian;the namibian namibian;2;3;0;0
RedNotebook;Langganan;rednotebook;rednotebook;rednotebook rednotebook;1;2;0;0
Youku;Langganan;youku;youku;youku youku;1;2;0;0
Salted Caramel Latte Reguler;Konsumsi;salted caramel latte reguler;salted caramel latte;salted caramel latte;4;3;1;25
Blood Lancet 28G Isi 1pcs + Safeglove Nitrile | Perlengkapan Medis Drcare;Kesehatan;blood lancet g isi pcs safeglove nitrile perlengkapan medis drcare;blood lancet safeglove nitrile perlengkapan medis drcare;blood lancet safeglove nitrile lengkap medis drcare;12;7;5;41.7
Great Eastern Life Indonesia;Tagihan;great eastern life indonesia;great eastern life indonesia;indonesia eastern life great;4;4;0;0
Wajit camilan;Konsumsi;wajit camilan;wajit camilan;wajit camil;2;2;0;0
[PROMO] Real Good Mini Susu UHT 50 ML (Satuan) Cemilan Hampers Snack Bingkisan Snacks;Konsumsi;promo real good mini susu uht ml satuan cemilan hampers snack bingkisan snacks;good susu uht satuan cemilan hampers snack bingkisan snacks;good susu uht satu cemilan hampers snack bingkis snacks;14;9;5;35.7
JSTOR;Langganan;jstor;jstor;jstor;1;1;0;0
Pop Mie Korean Fiery Chickin;Konsumsi;pop mie korean fiery chickin;pop mie korean fiery chickin;pop mie korean fiery chickin;5;5;0;0
GOMARS Gula Aren Susu Kambing Ettawa Bubuk - Halal & BPOM;Konsumsi;gomars gula aren susu kambing ettawa bubuk halal bpom;gomars gula aren susu kambing ettawa bubuk bpom;gomars gula aren susu kambing ettawa bubuk bpom;11;8;3;27.3
Liquefied Natural Gas (LNG) / Gas Alam Cair;Transport;liquefied natural gas lng gas alam cair;liquefied gas lng gas alam;liquefied gas lng gas alam;8;5;3;37.5
American Airlines;Transport;american airlines;american airlines;american airlines;2;2;0;0
Dus Snack 16 x 12 x 7 Roti Kue Kardus Makanan Box Coated Tebal 16x12x7 Laras Rasa Dus Aqua 330ml;Konsumsi;dus snack x x roti kue kardus makanan box coated tebal xx laras rasa dus aqua ml;snack roti kue kardus makanan coated xx laras aqua;snack roti kue kardus makan coated xx laras aqua;20;9;11;55
Bintang Wisata;Transport;bintang wisata;bintang wisata;bintang wisata wisata;2;3;0;0
Getuk singkong;Konsumsi;getuk singkong;getuk singkong;getuk singkong;2;2;0;0
Thai Tea Merah Teh Thailand isi 400 gram;Konsumsi;thai tea merah teh thailand isi gram;thai tea teh thailand;thai tea teh thailand;8;4;4;50
Bayar PBB Surabaya;Tagihan;bayar pbb surabaya;pbb surabaya;pbb surabaya surabaya;3;3;1;33.3
Tiket KA Argo Bromo Anggrek;Transport;tiket ka argo bromo anggrek;tiket ka argo bromo anggrek;ka argo bromo anggrek;5;4;0;0
PROMAG SLOP isi 4 Kotak(120 tablet)- Obat Maag Tablet;Kesehatan;promag slop isi kotak tablet obat maag tablet;promag slop tablet obat maag tablet;promag slop tablet obat maag tablet tablet;9;7;3;33.3
Tiket Thai Airways;Transport;tiket thai airways;tiket thai airways;tiket airways thai;3;3;0;0
Lumen5;Langganan;lumen;lumen;lumen;1;1;0;0
Pulsa & Token Listrik.Telkomsel.IM3.Fren & PLN;Tagihan;pulsa token listriktelkomselimfren pln;pulsa token listriktelkomselimfren pln;pulsa token listriktelkomselimfren pln;6;4;2;33.3
madu pria Organic Honey Royal Honey Vip Ori 1Box=24 Sachet EXP 2028;Konsumsi;madu pria organic honey royal honey vip ori box sachet exp;madu organic honey honey vip exp;madu organic honey honey vip exp;12;6;6;50
Krupuk Bawang Cemilan Jrebet Kuning Kemasan 500 Gram Ori Baru;Konsumsi;krupuk bawang cemilan jrebet kuning kemasan gram ori baru;krupuk bawang cemilan jrebet;krupuk bawang cemilan jrebet;10;4;6;60
Air France;Transport;air france;air france;air france air;2;3;0;0
PRENAGEN EMESIS VELVETY CHOCOLATE 360G BOX;Kesehatan;prenagen emesis velvety chocolate g box;prenagen emesis velvety chocolate;prenagen emesis velvety chocolate;6;4;2;33.3
Bayar Tempat Tinggal Bulanan;Tagihan;bayar tempat tinggal bulanan;tinggal bulanan;tinggal bulan;4;2;2;50
Menthol Crystal Food Grade 500 Gram / Mentol Kristal / Menthol Kristal;Konsumsi;menthol crystal food grade gram mentol kristal menthol kristal;menthol crystal food grade mentol kristal menthol kristal;menthol crystal food grade mentol kristal menthol kristal;12;8;4;33.3
OVO PayLater Bulanan;Tagihan;ovo paylater bulanan;ovo paylater bulanan;ovo paylater bulan;3;3;0;0
XMPP (with OMEMO);Langganan;xmpp with omemo;xmpp with omemo;omemo with xmpp;3;3;0;0
Kanzler Nugget Premium & Crispy 450gr Enak;Konsumsi;kanzler nugget premium crispy gr enak;kanzler nugget crispy;kanzler nugget crispy;7;3;4;57.1
StressScan;Langganan;stressscan;stressscan;stressscan;1;1;0;0
Bayar Cicilan via ShopeePay;Tagihan;bayar cicilan via shopeepay;cicilan via shopeepay;cicil shopeepay via;4;3;1;25
Marjan Boudoin Syrup Melon 460ml + Marjan Boudoin Syrup Cocopandan 460ml;Konsumsi;marjan boudoin syrup melon ml marjan boudoin syrup cocopandan ml;marjan boudoin syrup melon marjan boudoin syrup cocopandan;marjan boudoin syrup melon marjan boudoin syrup cocopandan;11;8;3;27.3
Telur Asin Ori ENDOG MAS (Instant/Sameday dengan Mika Telur);Konsumsi;telur asin ori endog mas instantsameday dengan mika telur;telur endog mas instantsameday mika telur;telur endog mas instantsameday mika telur;9;6;3;33.3
Kereta Lokal / Local Train;Transport;kereta lokal local train;kereta local train;kereta train;5;2;2;40
Bagasi Tambahan Whoosh;Transport;bagasi tambahan whoosh;bagasi tambahan whoosh;bagasi tambah whoosh;3;3;0;0
Fortune;Langganan;fortune;fortune;fortune;1;1;0;0
Cabai Rawit Pedas edisi khusus pack, 100, 250;Konsumsi;cabai rawit pedas edisi khusus pack;cabai rawit edisi;cabai rawit edisi;8;3;5;62.5
Mezzetta Sliced Hot Jalapeno Peppers 473 gr;Konsumsi;mezzetta sliced hot jalapeno peppers gr;mezzetta sliced jalapeno peppers;mezzetta sliced jalapeno peppers;7;4;3;42.9
Physician on FIRE;Langganan;physician on fire;physician on fire;physician on fire fire;3;4;0;0
Tagihan IPL Bulanan;Tagihan;tagihan ipl bulanan;tagihan ipl bulanan;tagih ipl ipl bulan;3;4;0;0
Lontong Daun Pisang Tanpa Isi Enak Dan Pulen;Konsumsi;lontong daun pisang tanpa isi enak dan pulen;lontong daun pisang;lontong daun pisang;8;3;5;62.5
Refund Tiket Travel;Transport;refund tiket travel;refund tiket travel;refund tiket tiket travel;3;4;0;0
Lubis 1;Konsumsi;lubis;lubis;lubis;2;1;1;50
Nugroho;Transport;nugroho;nugroho;nugroho nugroho;1;2;0;0
Exa.ai;Langganan;exaai;exaai;exaai;1;1;0;0
Tapai singkong;Konsumsi;tapai singkong;tapai singkong;tapai singkong;2;2;0;0
Parkir Bus;Transport;parkir bus;parkir bus;parkir bus;2;2;0;0
ACITRAL TABLET;Kesehatan;acitral tablet;acitral tablet;acitral tablet tablet;2;3;0;0
TERMURAH Kylafood Paket Pesta Kuliner Siap kirim;Konsumsi;termurah kylafood paket pesta kuliner siap kirim;kylafood pesta kuliner;kylafood pesta kuliner;7;3;4;57.1
Blind;Langganan;blind;blind;blind blind;1;2;0;0
Fruit Coktail in Syrup Herring / Buah Campur dalam sirup 820gr;Konsumsi;fruit coktail in syrup herring buah campur dalam sirup gr;fruit coktail in syrup herring sirup;fruit coktail in syrup herring sirup;11;6;5;45.5
Powder Brazillian Santos (200 Gr);Konsumsi;powder brazillian santos gr;powder brazillian santos;powder brazillian santos;5;3;2;40
WiFi Kereta;Transport;wifi kereta;wifi kereta;wifi kereta;2;2;0;0
READY TGL 22 April Selai pistachio kunafa Mesir 1kg;Konsumsi;ready tgl april selai pistachio kunafa mesir kg;tgl april selai pistachio kunafa mesir;tgl april selai pistachio kunafa mesir;9;6;3;33.3
Wong Coco Ice Bon Bon ChocoBerries 425ml (5s @ 85ml) x 2 pcs;Konsumsi;wong coco ice bon bon chocoberries ml s ml x pcs;coco ice bon bon chocoberries;coco ice bon bon chocoberries;13;5;8;61.5
Alat Korek Kuping LED Flashlight Earpick Clean Pembersih Telinga;Kesehatan;alat korek kuping led flashlight earpick clean pembersih telinga;alat kuping led flashlight earpick clean pembersih telinga;alat kuping led flashlight earpick clean bersih telinga;9;8;1;11.1
Community Fee Payment;Tagihan;community fee payment;community fee payment;community fee payment;3;3;0;0
AIA Premi Mei;Tagihan;aia premi mei;aia premi mei;aia premi mei mei;3;4;0;0
Zoom Pro;Langganan;zoom pro;zoom pro;zoom pro zoom;2;3;0;0
Aneka Menu Masakan Frozen Praktis (Tinggal Hangatkan);Konsumsi;aneka menu masakan frozen praktis tinggal hangatkan;aneka masakan frozen tinggal hangatkan;aneka masakan frozen tinggal hangat;7;5;2;28.6
tiket shuttle;Transport;tiket shuttle;tiket shuttle;tiket shuttle tiket;2;3;0;0
Greenwood Lychee In Syrup;Konsumsi;greenwood lychee in syrup;greenwood lychee in syrup;greenwood lychee in syrup;4;4;0;0
NATURLIFE JSR TEH - TEH HIJAU DIET PELANGSING / TEH HIJAU ORIGINAL / TEH HIJAU PENURUN BERAT BADAN / TEH PELANGSING BPOM / TEH HIJAU DIET / SLIMING TEA UNTUK DIET / TEH HIJAU CELUP / KALON TEA / TEH HIJAU KEPALA DJENGGOT / SPEARMINT TEA CHAMOMILE TEA;Konsumsi;naturlife jsr teh teh hijau diet pelangsing teh hijau original teh hijau penurun berat badan teh pelangsing bpom teh hijau diet sliming tea untuk diet teh hijau celup kalon tea teh hijau kepala djenggot spearmint tea chamomile tea;naturlife jsr teh teh diet pelangsing teh teh penurun berat badan teh pelangsing bpom teh diet sliming tea diet teh celup kalon tea teh kepala djenggot spearmint tea chamomile tea;naturlife jsr teh teh diet langsing teh teh turun berat badan teh langsing bpom teh diet sliming tea diet teh celup kalon tea teh kepala djenggot spearmint tea chamomile tea;48;30;18;37.5
Tagihan Residence Bulanan;Tagihan;tagihan residence bulanan;tagihan residence bulanan;tagih bulan;3;2;0;0
Safiya Garam Himalaya 1 Kg | Asli Himalayan Pink Salt Original Penyedap Rasa;Konsumsi;safiya garam himalaya kg asli himalayan pink salt original penyedap rasa;safiya garam himalaya himalayan pink salt penyedap;safiya garam himalaya himalayan pink salt sedap;13;7;6;46.2
Del Monte Chillli Sauce 2 x 340 mL;Konsumsi;del monte chillli sauce x ml;del monte chillli sauce;del monte chillli sauce;8;4;4;50
Tiket Travel Area Wisata;Transport;tiket travel area wisata;tiket travel area wisata;tiket travel area wisata;4;4;0;0
Minyak Kayu Putih Cap Lang (️BPOM) | Caplang 15 | 30 | 60 | 120 ml;Kesehatan;minyak kayu putih cap lang ️bpom caplang ml;minyak kayu cap lang ️bpom;minyak kayu cap lang bpom;16;5;11;68.8
Buah Zaitun Figaro / Figaro Black Pitted Olive 425 gr / Pickles;Konsumsi;buah zaitun figaro figaro black pitted olive gr pickles;zaitun figaro figaro black pitted olive pickles;zaitun figaro figaro black pitted olive pickles;12;7;5;41.7
Beef Slice Marinasi 500gr / Slice Daging Sapi Berbumbu - Brothermeatshop;Konsumsi;beef slice marinasi gr slice daging sapi berbumbu brothermeatshop;beef slice marinasi slice daging sapi berbumbu brothermeatshop;beef slice marinasi slice daging sapi bumbu brothermeatshop;11;8;3;27.3
10 Paket Roti Maryam Frozen untuk Usaha;Konsumsi;paket roti maryam frozen untuk usaha;roti maryam frozen usaha;roti maryam frozen usaha;7;4;3;42.9
Avoma;Langganan;avoma;avoma;avoma;1;1;0;0
Suweg kukus;Konsumsi;suweg kukus;suweg kukus;suweg kukus;2;2;0;0
PRENAGEN EMESIS PLAIN 200G;Kesehatan;prenagen emesis plain g;prenagen emesis plain;prenagen emesis plain;4;3;1;25
Late Night Ride;Transport;late night ride;late night ride;late ride night;3;3;0;0
Hot Chocolate (Without Whipped Cream);Konsumsi;hot chocolate without whipped cream;chocolate without whipped cream;chocolate without whipped cream;5;4;1;20
Jamur red boat brand champignons 525 g;Konsumsi;jamur red boat brand champignons g;jamur red boat champignons;jamur red boat champignons;7;4;3;42.9
Krupuk Kulit Abang Endut Renyah Dan Enak;Konsumsi;krupuk kulit abang endut renyah dan enak;krupuk kulit endut renyah;krupuk kulit endut renyah;7;4;3;42.9
Maling Pork Luncheonmeat TTS 170gr Rasa Enak;Konsumsi;maling pork luncheonmeat tts gr rasa enak;maling pork luncheonmeat tts;maling pork luncheonmeat tts;7;4;3;42.9
reschedule tiket;Transport;reschedule tiket;reschedule tiket;reschedule tiket;2;2;0;0
Rivoly 58gr Mandarin Orange In Syrup Jeruk Mandarin Dalam Sirup Kemasan Kaleng Rivoli Nikmat Segar;Konsumsi;rivoly gr mandarin orange in syrup jeruk mandarin dalam sirup kemasan kaleng rivoli nikmat segar;rivoly mandarin orange in syrup jeruk mandarin sirup kaleng rivoli nikmat;rivoly mandarin orange in syrup jeruk mandarin sirup kaleng rivoli nikmat;15;11;4;26.7
Parkir Tol;Transport;parkir tol;parkir tol;parkir tol tol;2;3;0;0
NPR;Langganan;npr;npr;npr npr;1;2;0;0
struk pemesanan token listrik pulsa bisa pakai nama toko isi 50 lembar;Tagihan;struk pemesanan token listrik pulsa bisa pakai nama toko isi lembar;struk pemesanan token listrik pulsa pakai nama;struk mesan token listrik pulsa pakai nama;12;7;5;41.7
Oat Coffee Caramel Macchiato;Konsumsi;oat coffee caramel macchiato;oat coffee caramel macchiato;oat coffee caramel macchiato;4;4;0;0
Token PLN Promo / Voucher Listrik Murah 20RB 50RB 100RB;Tagihan;token pln promo voucher listrik murah rb rb rb;token pln listrik rb rb rb;token pln listrik rb rb;10;5;4;40
Minyak Tawon/DD 30ML, EE 60ML, FF 90ML/top.kingg;Kesehatan;minyak tawondd ml ee ml ff mltopkingg;minyak tawondd ee ff mltopkingg;minyak tawondd ee mltopkingg;7;4;2;28.6
Tiket Air China;Transport;tiket air china;tiket air china;tiket air;3;2;0;0
BP 90;Transport;bp;bp;bp bp;2;2;1;50
Loan Payment Monthly;Tagihan;loan payment monthly;loan payment monthly;loan payment;3;2;0;0
Ikan kakatua segar;Konsumsi;ikan kakatua segar;ikan kakatua;ikan kakatua;3;2;1;33.3
Mangga Indramayu;Konsumsi;mangga indramayu;mangga indramayu;mangga indramayu;2;2;0;0
Elevate;Langganan;elevate;elevate;elevate;1;1;0;0
Bajaj / Auto Rickshaw;Transport;bajaj auto rickshaw;bajaj auto rickshaw;auto bajaj rickshaw;4;3;1;25
COXIRON 60MG FC TABLET;Kesehatan;coxiron mg fc tablet;coxiron mg fc tablet;coxiron mg fc tablet;4;4;0;0
Infusionsoft;Langganan;infusionsoft;infusionsoft;infusionsoft;1;1;0;0
Hetzner Cloud CLI;Langganan;hetzner cloud cli;hetzner cloud cli;hetzner cloud cloud cli;3;4;0;0
Pie Susu Bali CHANDRA 50 pcs | Pie Susu Chandra Grosir | Pai Susu Murah Oleh-oleh Khas Bali Original;Konsumsi;pie susu bali chandra pcs pie susu chandra grosir pai susu murah oleholeh khas bali original;pie susu bali chandra pie susu chandra pai susu oleholeh bali;pie susu bal chandra pie susu chandra pai susu oleholeh bal;19;11;8;42.1
